Genetic Max,Genetic Avg,PSO Max,PSO Avg,Algorithm Max Avg,Na•ve Genetic Avg,Na•ve PSO Avg
45,2.14,8,0.66,2.14,1,4
33,6.41,90,10.1,10.1,6,23
139,18.54,1051,95.7,95.7,13,82
939,51.18,3909,434.32,434.32,19,209
1446,169.54,4285,1150.18,1150.18,25,384
5243,423.19,7733,1458.14,1458.14,30,446
9011,1028.99,12224,2316.66,2316.66,39,1089
9703,1471.86,18745,2520.57,2520.57,42,1462
13657,1827.93,55166,5079.75,5079.75,54,1687
39324,3009.44,42127,2243.35,3009.44,73,2148
270806,8459.91,132270,4427.07,8459.91,83,2237
348604,22861.34,134544,5651.54,22861.34,105,2608
314985,31630.87,415152,15403.05,31630.87,123,2775
252736,37489.23,476543,21776.25,37489.23,185,3146
525280,48130.16,309720,27564.93,48130.16,271,3319
662808,67816,674835,50109.62,67816,388,2872
1345319,96568.05,550677,47838.37,96568.05,698,3271
1228487,116713.82,774461,68069.41,116713.82,1752,2117
990262,135126.39,586091,75223.94,135126.39,3185,2768
1075789,125286.73,1782985,100282.52,125286.73,6587,3359
908773,174221.31,1272450,117307.12,174221.31,11063,3091
1364225,164446.31,1438860,133686.8,164446.31,11483,3097
1479031,181689.58,1551465,164437.31,181689.58,17303,4051
1092989,181096.35,1395740,144438.66,181096.35,19642,3238
1146602,256921.06,1141547,182182.99,256921.06,27457,2834
1517271,254621.83,1259590,188251.95,254621.83,29885,3391
1640407,222434.76,1606537,280995.16,280995.16,38467,3828
1175740,246436.83,2104358,234242.83,246436.83,43502,3582
1120381,237973.09,2047993,213927.96,237973.09,47437,3746
2825435,366463.98,2272238,323011.77,366463.98,56748,4138
1845291,309567.26,979470,259282.88,309567.26,61777,4234
2034008,340073.97,2665223,449358.6,449358.6,71039,3826
3304290,358084.11,3100211,371790.9,371790.9,69823,4478
2787567,462912.11,1597173,171643.86,462912.11,88097,4707
2253210,363652.33,2077675,231737.26,363652.33,107269,4744
1867188,311724.86,2953830,314927.49,314927.49,120723,3995
2555723,340302.85,1687484,234603.64,340302.85,,
1872200,308927.13,1127676,213453.69,308927.13,,
3156274,446575.05,1834319,242883.2,446575.05,,
2680099,407973.74,1873770,294481.03,407973.74,,
2462655,399966.77,4351992,348420.48,399966.77,,
3494269,468933.74,5645042,599893.64,599893.64,,
3174102,441224.47,5511022,670595.97,670595.97,,
8293947,568742.12,6593278,460982.79,568742.12,,
3930471,626391.08,4961819,392536.7,626391.08,,
1.06E+07,743498.2,4824876,511926.26,743498.2,,
1.27E+07,830581.36,1.14E+07,955273.11,955273.11,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,